Designator,Mid X,Mid Y,Rotation,Layer
C1,169.69,-76.539999,270.0,top
C10,126.9,-91.39,180.0,top
C11,127.0075,-84.29,0.0,top
C12,130.51,-96.6,270.0,top
C13,141.9775,-79.79,0.0,top
C14,159.5375,-87.589999,0.0,top
C15,155.63,-92.45,180.0,top
C2,133.52,-77.93,270.0,top
C5,172.99,-102.9,0.0,top
C6,120.482501,-103.14,180.0,top
C7,137.292501,-103.06,180.0,top
C8,154.45,-103.07,180.0,top
C9,149.95,-94.34,270.0,top
D0_1,170.0625,-90.39,0.0,top
D1,170.1375,-83.48,180.0,top
D9,174.61,-94.74,180.0,top
F1,163.76,-74.75,90.0,top
J1,152.84,-74.5799,180.0,top
J10,119.4,-91.705,0.0,top
J2,177.369299,-107.514551,0.0,top
J3,125.929299,-107.514551,0.0,top
J4,143.009299,-107.504551,0.0,top
J5,160.149999,-107.5094,0.0,top
J6,176.07,-99.83,270.0,top
J7,126.1143,-101.734451,90.0,top
J8,142.8843,-101.785151,90.0,top
J9,161.24,-100.89,270.0,top
R0_2,174.74,-90.39,180.0,top
R1,179.15,-86.87,0.0,top
R10,173.56,-84.48,270.0,top
R11,119.4,-84.9,270.0,top
R2,179.15,-82.64,180.0,top
R3,136.554179,-78.159728,270.0,top
R35,179.51,-93.74,90.0,top
R4,150.03,-85.55,0.0,top
R5,147.68,-94.44,270.0,top
R6,170.12,-85.61,180.0,top
R7,123.63,-96.56,90.0,top
R9,130.524179,-78.099728,270.0,top
U1,137.564179,-86.519728,270.0,top
U11,159.6,-91.1,270.0,top
Y1,127.01,-87.88,270.0,top
