Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",1206,3,100uF,
"C10, C11",0402,2,12pF,
C12,0805,1,100nF,
"C13, C2, C7, C8, C9",0603,5,100nF,
"C14, C15, C16, C17, C18, C19, C3, C4",0603,8,2.2uF,
"D1, D2",0805,2,LED,
D7,D_SOD-123,1,BZT52C5V6,
D8,D_SOD-123,1,B5819W,
F1,Fuseholder_Littelfuse_Nano2_154x,1,Fuse,
F4,0805,1,500mA,
"J1, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5V,
J3,PinHeader_1x02_P2.54mm_Vertical,1,5V_OUT,
"J4, J5",USB_2.0_TYPE_A_RECESSED,2,USB_A,
Q1,TO-252-2,1,40p04,
R0_1,0805,1,1M,
R1,0805,1,5.1k,
R10,0805,1,2k,
"R11, R12",0603,2,5.1k_1%,
"R2, R7",0805,2,10k,
R26,0603,1,10k,
"R3, R4, R5",0805,3,0,
R6,0805,1,100k,
R8,0805,1,1k,
R9,0805,1,680,
"TP2, TP5",TestPoint_Pad_D2.0mm,2,TestPoint,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,GL850G/GL852G,
"U11, U2, U3, U4",SOT-23-5_HandSoldering,4,AP2141WG,
"U12, U5, U6",SOT-23-6,3,USBLC6-2SC6,
"USB1, USB2, USB3",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Recep._USB2.0_16P,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12MHz,
